Instance,,,DynCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,,,,Alt-4,
,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time
XSEngine.cnf,,439,457.1,3512.6,,449,467.4,3496.0,,454,472.8,3485.6,,446,465.0,3432.1,,698,733.6,3209.1
aaed2000.cnf,,696,715.2,3520.9,,715,730.2,3563.4,,699,723.3,3311.9,,724,761.1,3108.6,,1052,1089.1,2978.2
adder.cnf,,450,464.6,3422.9,,458,476.4,3488.9,,464,473.9,3331.2,,442,468.4,3457.7,,731,753.6,2855.5
aeb.cnf,,417,439.4,3477.2,,427,448.0,3554.3,,445,450.3,3341.9,,427,444.2,3461.5,,691,725.5,2988.6
aim711.cnf,,458,467.5,3473.1,,466,477.1,3549.7,,466,476.8,3288.1,,453,473.3,3468.3,,739,761.0,3222.7
aki3068net.cnf,,458,463.5,3371.4,,462,471.7,3500.3,,470,475.2,3384.0,,459,476.5,3406.8,,723,744.2,3297.3
am31_sim.cnf,,399,410.0,3366.3,,402,414.9,3520.4,,414,423.8,3223.0,,401,421.8,3231.4,,619,639.3,3074.9
asb2305.cnf,,414,425.4,3425.1,,422,433.1,3507.0,,419,435.7,3158.4,,411,431.3,3454.3,,648,678.1,3332.4
assabet.cnf,,418,429.3,3520.8,,428,440.3,3550.2,,433,438.2,3394.7,,409,431.3,3457.8,,685,704.3,3026.2
at91sam7sek.cnf,,421,435.9,3472.0,,431,444.0,3535.9,,431,445.7,3221.9,,424,435.2,3447.4,,695,712.9,3059.6
at91sam7xek.cnf,,458,472.7,3497.0,,468,487.0,3538.3,,469,484.7,3296.7,,461,475.8,3414.9,,750,781.2,3184.8
atlas_mips32_4kc.cnf,,447,460.3,3411.6,,453,469.2,3521.7,,459,477.2,3372.9,,450,470.0,3374.4,,732,746.8,2850.2
atlas_mips64_5kc.cnf,,452,469.4,3456.4,,457,476.5,3499.2,,465,478.2,3205.8,,449,469.8,3410.1,,692,737.4,3185.6
axtls.cnf,,99,100.2,2489.8,,99,100.2,2489.9,,106,107.8,989.9,,98,99.4,2271.2,,132,135.1,2408.3
brutus.cnf,,402,417.8,3439.9,,406,425.6,3532.3,,422,427.9,3352.0,,413,427.8,3435.7,,655,667.9,3007.8
buildroot.cnf,,74,76.6,2660.5,,74,76.6,2794.7,,74,75.9,2320.1,,76,77.5,2364.2,,71,75.0,2902.3
busybox_1_28_0.cnf,,141,143.9,2972.9,,141,144.0,3162.7,,148,152.6,2721.9,,136,139.7,3036.0,,218,229.0,2905.6
calm16_ceb.cnf,,401,417.3,3396.6,,409,421.7,3488.9,,418,431.9,3248.6,,409,424.2,3288.2,,643,665.5,2820.5
calm32_ceb.cnf,,405,419.9,3350.8,,408,425.4,3452.2,,420,431.5,3227.9,,431,440.5,3428.9,,649,665.9,3124.4
cerf.cnf,,458,477.5,3522.2,,470,492.5,3498.3,,483,495.0,3307.0,,464,484.9,3499.6,,755,784.5,3198.3
cerfpda.cnf,,466,478.8,3544.6,,477,492.5,3550.3,,478,493.2,3432.0,,461,482.0,3450.1,,769,792.4,2871.8
cma230.cnf,,407,420.2,3420.1,,411,429.1,3518.5,,415,428.1,3342.7,,405,422.2,3437.4,,649,662.4,3345.9
cma28x.cnf,,400,416.6,3435.3,,411,424.8,3469.4,,409,422.5,3308.3,,402,417.3,3318.4,,624,642.4,3091.3
cme555.cnf,,413,424.0,3560.0,,419,433.9,3512.0,,429,437.8,3335.5,,428,437.7,3287.5,,654,680.7,3000.4
cq7708.cnf,,582,599.3,3513.9,,589,611.0,3567.7,,595,604.0,3363.6,,626,644.3,3073.4,,866,904.3,3228.4
cq7750.cnf,,447,462.0,3497.5,,455,470.1,3520.4,,463,471.7,3387.5,,454,471.5,3365.1,,711,748.0,3297.1
csb281.cnf,,475,487.9,3458.5,,487,498.5,3524.7,,489,504.4,3342.7,,488,500.1,3465.4,,771,783.0,3338.2
dreamcast.cnf,,503,518.0,3417.5,,511,528.5,3523.0,,517,531.3,3177.3,,506,524.5,3440.5,,795,831.0,3147.7
e7t.cnf,,456,474.1,3500.5,,469,484.3,3523.0,,472,481.4,3498.2,,456,479.6,3489.1,,732,745.9,3191.5
ea2468.cnf,,450,468.3,3523.2,,464,479.7,3519.0,,461,478.1,3440.5,,457,473.5,3405.7,,729,768.8,3178.8
eb40.cnf,,407,426.3,3471.3,,415,434.5,3479.2,,428,440.4,3345.5,,415,432.7,3338.1,,667,689.4,3096.7
eb40a.cnf,,423,430.0,3431.6,,430,437.9,3527.6,,424,438.4,3287.1,,427,438.8,3333.3,,681,697.3,3204.1
eb42.cnf,,409,427.7,3416.7,,414,436.4,3449.3,,426,433.6,3433.7,,418,432.2,3379.1,,647,682.6,3191.6
eb55.cnf,,412,431.0,3476.5,,415,437.8,3494.3,,432,438.2,3390.3,,415,435.1,3321.8,,683,699.2,3026.0
ebsa285.cnf,,493,504.1,3433.7,,501,515.6,3523.4,,506,516.2,3407.0,,484,502.7,3463.0,,800,819.5,2783.3
ec555.cnf,,405,424.4,3414.3,,418,433.3,3496.1,,419,432.5,3501.1,,417,431.4,3400.9,,634,680.0,3040.0
ecos-icse11.cnf,,438,450.9,3421.7,,445,460.0,3463.2,,453,462.6,3266.9,,436,454.2,3356.1,,716,748.8,2957.6
edb7xxx.cnf,,440,464.2,3518.4,,454,476.4,3503.4,,467,478.8,3404.8,,448,474.1,3366.7,,716,735.4,3244.9
edosk2674.cnf,,438,450.8,3473.1,,445,458.4,3503.9,,454,466.6,3356.9,,438,455.5,3434.7,,695,722.1,2659.9
excalibur_arm9.cnf,,574,612.1,3472.2,,592,622.4,3531.4,,595,613.3,3396.4,,620,665.9,3126.4,,874,925.9,3209.5
fads.cnf,,391,411.1,3460.1,,395,417.9,3428.6,,414,423.0,3194.7,,401,420.0,3274.9,,620,636.0,3085.1
flexanet.cnf,,479,490.1,3460.0,,489,505.3,3571.0,,489,502.2,3296.4,,475,493.7,3422.0,,768,796.8,2920.5
freebsd-icse11.cnf,,509,532.5,3468.5,,513,544.3,3550.7,,499,523.3,3450.8,,512,589.6,2873.6,,672,693.4,3217.6
frv400.cnf,,451,464.4,3416.6,,458,473.1,3544.1,,460,475.3,3325.0,,451,467.1,3448.6,,703,738.2,2890.0
gps4020.cnf,,413,419.8,3459.2,,416,427.0,3433.8,,423,434.5,3288.5,,415,434.2,3514.1,,671,698.7,2962.3
grg.cnf,,448,461.9,3414.0,,458,471.2,3468.4,,463,476.9,3439.4,,439,467.6,3436.0,,712,729.3,3133.7
h8300h_sim.cnf,,403,411.8,3446.3,,407,418.1,3468.9,,412,422.3,3223.3,,398,415.4,3314.1,,615,634.9,3028.7
h8max.cnf,,447,460.2,3468.5,,453,467.9,3430.0,,464,474.2,3269.4,,450,475.9,3366.3,,715,734.8,3042.6
h8s_sim.cnf,,396,410.2,3487.8,,398,417.8,3504.4,,413,422.7,3281.6,,403,421.9,3297.0,,617,638.5,3061.6
hs7729pci.cnf,,697,719.7,3482.9,,701,733.9,3545.5,,704,721.4,3376.7,,725,773.5,3241.2,,1062,1119.3,3011.9
innovator.cnf,,691,706.4,3514.6,,700,718.9,3528.4,,695,713.0,3338.2,,701,743.8,3218.3,,1043,1067.5,3334.8
integrator_arm7.cnf,,460,469.4,3440.0,,467,478.4,3493.8,,468,480.2,3381.1,,454,477.6,3461.3,,717,741.9,3183.9
integrator_arm9.cnf,,624,659.3,3480.1,,627,671.3,3533.2,,625,650.9,3522.7,,674,703.2,2986.8,,928,945.5,3324.0
iq80310.cnf,,447,457.9,3493.8,,453,468.1,3534.8,,458,473.8,3387.3,,458,467.3,3405.0,,714,738.5,3054.0
iq80321.cnf,,449,461.0,3498.6,,460,473.9,3538.3,,453,473.1,3263.6,,459,470.9,3394.2,,721,734.3,3100.8
ixdp425.cnf,,446,457.7,3436.7,,457,467.4,3522.7,,462,475.1,3463.5,,459,471.6,3452.0,,720,742.2,2786.9
jtst.cnf,,419,435.8,3463.5,,422,442.9,3529.3,,423,439.1,3283.0,,416,432.5,3416.2,,661,686.1,3005.0
linux.cnf,,495,515.6,3491.3,,502,524.5,3533.0,,517,524.9,3407.4,,498,513.4,3456.3,,803,833.1,3074.4
lpcmt.cnf,,404,428.3,3467.3,,416,439.5,3530.0,,415,435.1,3334.4,,420,432.8,3392.1,,674,705.7,2958.9
m5272c3.cnf,,486,507.3,3488.5,,497,523.2,3563.5,,499,520.0,3409.2,,491,505.6,3457.9,,781,798.5,2946.1
mac7100evb.cnf,,404,420.0,3492.3,,410,426.9,3486.5,,408,433.4,3253.2,,412,430.2,3308.9,,644,665.0,3143.4
malta_mips32_4kc.cnf,,453,476.2,3482.4,,468,488.2,3534.4,,473,488.7,3375.9,,455,482.8,3325.1,,713,748.9,3152.0
malta_mips64_5kc.cnf,,467,478.6,3478.9,,477,488.8,3536.4,,477,490.8,3196.1,,472,488.4,3271.1,,704,746.2,3137.0
mb93091.cnf,,446,455.7,3435.2,,460,463.5,3547.8,,457,469.2,3097.3,,453,467.6,3382.0,,711,722.6,3155.3
mb93093.cnf,,447,459.9,3479.8,,453,469.7,3504.0,,463,470.6,3431.4,,445,467.1,3438.6,,699,721.1,3182.5
mbx.cnf,,447,465.0,3452.9,,462,474.5,3549.0,,463,475.3,3432.4,,463,474.6,3442.2,,712,745.0,3032.2
mcb2100.cnf,,417,429.5,3444.6,,424,438.4,3534.0,,425,436.5,3313.3,,422,434.5,3275.2,,663,675.9,3351.3
moab.cnf,,474,483.9,3493.5,,484,499.3,3524.1,,483,500.7,3267.5,,467,487.7,3435.4,,779,810.1,3261.8
mpc50.cnf,,397,416.5,3353.8,,400,421.7,3465.1,,419,428.9,3371.4,,415,425.1,3433.4,,628,658.2,2963.4
nano.cnf,,490,507.8,3445.1,,495,518.5,3522.5,,508,524.7,3478.8,,488,509.2,3504.4,,810,837.7,3178.6
npwr.cnf,,443,453.5,3468.5,,450,461.3,3555.5,,460,469.5,3331.5,,443,459.9,3358.2,,713,725.7,3222.6
ocelot.cnf,,454,462.1,3449.8,,461,471.6,3547.4,,461,471.2,3334.8,,453,470.6,3507.8,,712,739.5,2835.6
olpch2294.cnf,,420,430.2,3425.3,,428,438.7,3506.2,,415,434.1,3415.1,,419,432.7,3419.6,,678,689.5,3214.8
olpcl2294.cnf,,457,476.2,3435.1,,469,489.6,3534.5,,475,487.8,3349.7,,460,474.3,3466.5,,749,775.9,3148.7
p2106.cnf,,412,424.9,3439.2,,425,433.7,3556.0,,429,434.1,3407.3,,404,430.1,3466.2,,675,697.3,3037.7
pc_i82544.cnf,,456,480.0,3477.6,,468,492.4,3480.3,,476,492.0,3487.4,,451,475.7,3405.9,,757,790.0,3294.0
pc_i82559.cnf,,462,478.8,3496.9,,472,489.3,3517.6,,482,495.4,3281.3,,456,478.2,3396.0,,767,787.3,3053.9
pc_rltk8139.cnf,,501,512.3,3488.9,,512,527.0,3562.9,,510,525.7,3379.8,,498,516.8,3375.4,,809,835.7,3275.2
pc_usb_d12.cnf,,422,436.9,3381.5,,429,447.8,3548.7,,441,451.5,3315.2,,426,446.2,3376.1,,696,718.2,3222.1
pc_vmWare.cnf,,445,464.9,3456.6,,452,474.2,3505.4,,460,474.3,3263.9,,449,464.5,3432.2,,746,774.7,2832.0
phycore.cnf,,423,434.3,3493.5,,435,445.1,3558.1,,435,444.5,3347.6,,426,438.6,3444.8,,665,700.6,3173.5
phycore229x.cnf,,460,477.5,3507.5,,469,493.3,3534.5,,472,489.0,3435.9,,458,475.4,3467.5,,744,775.7,3007.4
picasso.cnf,,441,456.3,3489.9,,451,463.7,3546.6,,455,466.8,3349.1,,440,455.5,3421.4,,705,724.8,3146.8
pid.cnf,,406,425.2,3398.0,,409,432.1,3493.5,,424,435.2,3304.9,,402,429.2,3373.0,,651,674.5,3053.4
psim.cnf,,400,411.8,3411.6,,404,417.1,3537.2,,407,422.7,3245.3,,395,420.3,3205.7,,627,640.0,2970.5
