Instance,,,DynCA,,,,DynCA-short,,,,ScalableCA+,,,,HSCA+,,,,ScalableCA,,,,HSCA,
,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time
XSEngine.cnf,,439,457.1,3512.6,,468,488.0,1776.5,,500,517.5,3504.0,,668,678.0,2484.3,,502,525.1,3556.7,,668,678.1,2495.3
aaed2000.cnf,,696,715.2,3520.9,,728,759.2,1764.9,,778,803.5,3529.2,,992,1005.3,2850.9,,768,792.2,3564.5,,995,1009.7,2749.9
adder.cnf,,450,464.6,3422.9,,479,495.7,1781.7,,503,524.0,3496.8,,698,706.4,2516.6,,509,526.5,3575.6,,698,706.6,2517.9
aeb.cnf,,417,439.4,3477.2,,440,465.9,1768.5,,471,495.9,3484.8,,646,668.5,2428.5,,474,493.6,3519.1,,646,670.1,2430.9
aim711.cnf,,458,467.5,3473.1,,473,500.5,1756.4,,511,526.1,3520.9,,697,708.3,2605.8,,516,535.3,3562.7,,697,707.6,2670.1
aki3068net.cnf,,458,463.5,3371.4,,466,486.1,1764.3,,484,512.3,3554.4,,677,701.0,2219.4,,500,524.8,3554.0,,677,695.8,2274.7
am31_sim.cnf,,399,410.0,3366.3,,415,428.9,1742.2,,440,456.1,3491.5,,587,601.0,2183.7,,444,461.6,3482.8,,592,602.3,2054.0
asb2305.cnf,,414,425.4,3425.1,,432,452.6,1750.7,,452,474.3,3533.0,,619,630.0,2436.4,,467,482.3,3516.4,,619,630.1,2409.6
assabet.cnf,,418,429.3,3520.8,,445,463.0,1748.1,,476,495.0,3521.8,,643,660.2,2573.7,,477,494.4,3544.8,,643,659.9,2606.1
at91sam7sek.cnf,,421,435.9,3472.0,,438,461.7,1703.6,,465,493.7,3536.7,,649,664.2,2554.1,,477,497.8,3546.0,,649,666.4,2476.2
at91sam7xek.cnf,,458,472.7,3497.0,,490,514.4,1774.2,,520,538.4,3485.9,,707,722.6,2855.0,,537,559.6,3571.3,,710,725.2,2819.6
atlas_mips32_4kc.cnf,,447,460.3,3411.6,,461,484.1,1751.5,,507,517.3,3537.5,,669,693.6,2532.1,,499,521.7,3528.7,,669,692.5,2547.6
atlas_mips64_5kc.cnf,,452,469.4,3456.4,,470,492.7,1763.4,,498,514.4,3519.1,,678,696.5,2369.9,,495,523.7,3541.7,,674,695.0,2422.7
axtls.cnf,,99,100.2,2489.8,,99,100.7,1283.1,,108,109.4,940.2,,130,137.3,1505.5,,108,109.3,681.6,,130,137.8,1345.4
brutus.cnf,,402,417.8,3439.9,,422,441.5,1784.5,,463,470.7,3513.3,,614,627.9,2406.9,,463,478.8,3513.2,,614,627.1,2383.3
