Instance,,,DynCA,,,,DynCA-short,,,,ScalableCA+,,,,HSCA+,,,,ScalableCA,,,,HSCA,
,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time
adderII.cnf,,452,471.9,3473.0,,480,500.1,1768.4,,508,519.7,3524.4,,696,707.3,2489.6,,504,536.1,3568.4,,699,709.6,2418.1
asb.cnf,,404,421.1,3503.6,,426,445.2,1739.3,,467,474.9,3508.6,,620,633.0,2292.8,,459,480.4,3491.2,,620,634.0,2289.0
ceb_v850.cnf,,406,418.9,3448.3,,425,441.2,1755.6,,454,466.2,3522.8,,609,620.3,2497.1,,444,463.3,3497.2,,609,619.9,2595.8
ipaq.cnf,,413,429.8,3425.5,,424,454.1,1751.7,,467,488.3,3453.2,,633,649.9,2614.8,,481,498.6,3492.8,,633,650.1,2643.3
jmr3904.cnf,,411,420.8,3442.8,,427,442.7,1757.5,,450,469.6,3429.3,,620,629.1,2097.7,,461,473.3,3539.9,,620,629.8,2234.8
mace1.cnf,,407,421.0,3483.3,,428,442.1,1750.7,,455,468.5,3436.4,,617,628.1,2170.2,,459,471.3,3499.0,,618,629.5,2208.6
olpce2294.cnf,,464,474.7,3532.4,,489,511.7,1772.8,,506,531.3,3534.0,,709,729.5,2692.9,,534,549.5,3579.8,,709,726.9,2696.8
pati.cnf,,409,420.6,3480.0,,436,450.6,1755.6,,459,481.3,3516.1,,610,631.1,2711.4,,459,477.8,3556.2,,610,632.8,2674.1
prpmc1100.cnf,,407,420.0,3422.8,,421,440.1,1773.3,,464,474.6,3508.4,,616,626.9,2453.8,,460,476.6,3532.2,,616,626.9,2463.7
sam7ex256.cnf,,457,472.8,3499.1,,489,512.5,1763.1,,518,535.2,3525.2,,699,720.9,2726.2,,514,552.4,3574.7,,699,721.7,2675.5
toybox.cnf,,49,49.9,2817.2,,49,50.3,1240.9,,43,43.5,919.2,,55,57.2,674.6,,42,43.4,1259.1,,55,57.0,618.2
vrc4375.cnf,,461,470.8,3445.6,,486,498.7,1759.4,,518,534.7,3529.1,,681,701.8,2506.4,,514,533.5,3560.2,,681,700.3,2455.7
